iter	RMSE
0	0.39600215
1	0.3931234987
2	0.3903684782
3	0.3876931081
4	0.3849619462
5	0.3823933999
6	0.3799299272
7	0.3772602876
8	0.3747880256
9	0.3722430788
10	0.3697449213
11	0.3673410422
12	0.364989095
13	0.3625267105
14	0.3600790883
15	0.357761674
16	0.3553599629
17	0.352996154
18	0.3506270717
19	0.348425367
20	0.3462602306
21	0.3439549097
22	0.3417420773
23	0.3397725012
24	0.3375542011
25	0.3354126263
26	0.333327225
27	0.3311846418
28	0.3292129202
29	0.3270293079
30	0.3248676537
31	0.3228405737
32	0.3206985437
33	0.3187164964
34	0.3168391444
35	0.3148262141
36	0.3130841975
37	0.311184109
38	0.3091092968
39	0.3072135669
40	0.3054009323
41	0.3036735496
42	0.3018342183
43	0.2999649947
44	0.2981510303
45	0.2963642215
46	0.2946868632
47	0.2928902248
48	0.2912769198
49	0.2895500456
50	0.2878058935
51	0.2860890166
52	0.2844756671
53	0.282725061
54	0.2811027133
55	0.2794359744
56	0.2778350755
57	0.2762966136
58	0.2746970314
59	0.273175607
60	0.2715467745
61	0.2699400991
62	0.2684768032
63	0.2670008908
64	0.2655011331
65	0.264077307
66	0.262656852
67	0.2611428032
68	0.2597072449
69	0.2582950071
70	0.2569993556
71	0.2556497516
72	0.2542862004
73	0.2529317201
74	0.2515932951
75	0.2501814001
76	0.248884345
77	0.2475515346
78	0.2462132246
79	0.2448274145
80	0.2435423176
81	0.242225231
82	0.241015709
83	0.2397546657
84	0.2385793724
85	0.2374363315
86	0.2362079835
87	0.2349460198
88	0.2338716577
89	0.2326479593
90	0.231500929
91	0.2303393735
92	0.2292449699
93	0.228047274
94	0.2269853345
95	0.2258464383
96	0.2247701078
97	0.2237010154
98	0.2226648933
99	0.2215940052
100	0.2205322765
101	0.2194882973
102	0.2184672171
103	0.2174289281
104	0.216382576
105	0.2153882464
106	0.2143993257
107	0.2133737709
108	0.212385946
109	0.2114273444
110	0.2105205321
111	0.2096313434
112	0.208630758
113	0.2076904873
114	0.2068578654
115	0.2059098032
116	0.2050109295
117	0.2040288698
118	0.2031945511
119	0.2023253822
120	0.2013930986
121	0.2004257669
122	0.1995052121
123	0.1986815768
124	0.197883286
125	0.1970759074
126	0.1962096563
127	0.195356808
128	0.1945412465
129	0.1937793435
130	0.1929792096
131	0.1921747422
132	0.1913554469
133	0.1906102766
134	0.1898776345
135	0.189147843
136	0.1883810091
137	0.1876642347
138	0.1869340208
139	0.1862231705
140	0.1854938874
141	0.1848742154
142	0.1841531938
143	0.1834925013
144	0.1827883791
145	0.1821510392
146	0.1814364948
147	0.1808987199
148	0.1802766545
149	0.1795635575
150	0.1789051529
151	0.1783662704
152	0.1776721393
153	0.1770553298
154	0.1763797904
155	0.1757452803
156	0.1751054548
157	0.174519718
158	0.1738869944
159	0.1733515866
160	0.1727923926
161	0.1722032931
162	0.1716587956
163	0.1711469668
164	0.1706011494
165	0.1700653124
166	0.1695205759
167	0.1690059165
168	0.1684986593
169	0.1679422628
170	0.1673689107
171	0.1668000897
172	0.1662928422
173	0.1658401338
174	0.1652771609
175	0.1647857979
176	0.1643032962
177	0.1638090758
178	0.163365405
179	0.162854618
180	0.1623515833
181	0.161906175
182	0.1614794581
183	0.1610760316
184	0.1605923414
185	0.160160286
186	0.1596868499
187	0.1592489992
188	0.1588102329
189	0.1583535063
190	0.1579455302
191	0.1575434184
192	0.1570747652
193	0.1566774703
194	0.1562796697
195	0.1558647922
196	0.1554734327
197	0.1550622105
198	0.1546644989
199	0.1543229774
200	0.1539430914
201	0.1535363454
202	0.153190063
203	0.1528229571
204	0.1524239291
205	0.1520264895
206	0.1516162748
207	0.1512610303
208	0.150862
209	0.1505228433
210	0.1501691662
211	0.1497471141
212	0.1494086514
213	0.149046383
214	0.1487143278
215	0.1483619986
216	0.1480198027
217	0.1476860953
218	0.1473460976
219	0.1470056027
220	0.1466671554
221	0.1463645858
222	0.1460631741
223	0.1457509263
224	0.1453968813
225	0.1450669626
226	0.1447895648
227	0.1444974009
228	0.1442104523
229	0.1438890416
230	0.1435765367
231	0.1432480052
232	0.1429391307
233	0.1426212806
234	0.1423093825
235	0.1420149731
236	0.1417687726
237	0.1414699807
238	0.141154606
239	0.1409020155
240	0.1406087279
241	0.1403636144
242	0.1400885657
243	0.1398269179
244	0.1395151034
245	0.13921403
246	0.1389215693
247	0.1386059486
248	0.1383028577
249	0.1380503876
250	0.1377621735
251	0.1374748604
252	0.137217496
253	0.1369873102
254	0.1367627181
255	0.1365252277
256	0.1362872738
257	0.1360350206
258	0.1357953314
259	0.1355555888
260	0.1353068405
261	0.1350488663
262	0.1348097181
263	0.1345755168
264	0.1343112562
265	0.1340586595
266	0.1338409892
267	0.1336219656
268	0.1333534514
269	0.1331053246
270	0.1328753947
271	0.1327008327
272	0.1324491332
273	0.1322242065
274	0.1320111376
275	0.1317611472
276	0.1315922885
277	0.1313989438
278	0.1311742737
279	0.1309568088
280	0.1307446236
281	0.1305272614
282	0.1303378706
283	0.1301030272
284	0.1299223639
285	0.1297133742
286	0.129480592
287	0.1292943123
288	0.1290983139
289	0.1289371125
290	0.1287413272
291	0.128530077
292	0.1283339009
293	0.1281298365
294	0.1279439623
295	0.1277807512
296	0.1275766632
297	0.1274140344
298	0.127219314
299	0.1270519546
300	0.1268711798
301	0.1267014293
302	0.1265267493
303	0.1263492986
304	0.1261620977
305	0.1259618763
306	0.125752578
307	0.125615945
308	0.1254681254
309	0.1253103796
310	0.1251058883
311	0.1249364163
312	0.1247571079
313	0.1245562399
314	0.1243775948
315	0.124202868
316	0.1240317839
317	0.1238629683
318	0.1236543394
319	0.1234751457
320	0.1233274981
321	0.1231812629
322	0.1230424605
323	0.1229015915
324	0.122747758
325	0.1225699454
326	0.1224322729
327	0.1222845944
328	0.1220750971
329	0.1219040525
330	0.1217722464
331	0.1216278514
332	0.1214749755
333	0.1213565804
334	0.1212077372
335	0.1210508752
336	0.1209321712
337	0.1207403014
338	0.1206001865
339	0.1204225792
340	0.1202907811
341	0.1201623016
342	0.1200084501
343	0.1198733533
344	0.1197209089
345	0.1195875632
346	0.1194779774
347	0.119334481
348	0.1191909676
349	0.1190760196
350	0.1189345027
351	0.1188208086
352	0.1187212113
353	0.118595627
354	0.1184795936
355	0.1183237726
356	0.1181542909
357	0.1180420061
358	0.1179339618
359	0.117825132
360	0.1176924767
361	0.1175504451
362	0.117436998
363	0.1173279693
364	0.1171921742
365	0.117075228
366	0.1169559299
367	0.1168273074
368	0.116702301
369	0.1166153433
370	0.1164822779
371	0.116376461
372	0.1162935065
373	0.1161784699
374	0.1160712079
375	0.1159713296
376	0.115838108
377	0.1157319379
378	0.1156380934
379	0.1155301662
380	0.1154115039
381	0.1152883151
382	0.1151811918
383	0.1150807927
384	0.114993796
385	0.1148931036
386	0.1148061629
387	0.1147131652
388	0.1146059534
389	0.1145154888
390	0.1144274064
391	0.1143276466
392	0.1142409061
393	0.1141446976
394	0.1140606004
395	0.1139586035
396	0.113872535
397	0.1137862568
398	0.1136783628
399	0.1135683518
400	0.113485821
401	0.1133999608
402	0.113309152
403	0.113221131
404	0.1131432317
405	0.1130644104
406	0.112933414
407	0.1128450762
408	0.1127390892
409	0.1126627847
410	0.1125924367
411	0.1125259538
412	0.112433183
413	0.1123783411
414	0.1122994427
415	0.1122054922
416	0.1121329888
417	0.1120351219
418	0.1119674034
419	0.1118366391
420	0.1117372177
421	0.1116771869
422	0.1115633216
423	0.1114883442
424	0.1114129591
425	0.1113305358
426	0.1112259963
427	0.1111138013
428	0.1110127014
429	0.1109203384
430	0.1108470363
431	0.110770732
432	0.110692157
433	0.1105941539
434	0.1105175119
435	0.1104292467
436	0.1103431809
437	0.1102711439
438	0.1101923466
439	0.1101194958
440	0.1100316188
441	0.1099465091
442	0.1098421963
443	0.1097555979
444	0.1096802941
445	0.1096121978
446	0.1095202906
447	0.1094634142
448	0.1093991094
449	0.109289961
450	0.1092084274
451	0.1091458583
452	0.1090548891
453	0.1089833291
454	0.1089254054
455	0.1088655092
456	0.1087823253
457	0.1086969108
458	0.1086266118
459	0.1085668194
460	0.1085073952
461	0.1084703556
462	0.1083903139
463	0.1083312236
464	0.1082565254
465	0.1081648429
466	0.1080992068
467	0.1080286257
468	0.1079586911
469	0.1078749754
470	0.107801869
471	0.1077146899
472	0.1076416632
473	0.1075827386
474	0.1074923051
475	0.1073961721
476	0.1073226816
477	0.1072539276
478	0.1071963528
479	0.1071318155
480	0.1070778346
481	0.1070199751
482	0.1069433065
483	0.1068774049
484	0.1067700181
485	0.1066816644
486	0.1066199973
487	0.1065546526
488	0.106503664
489	0.1064169264
490	0.1063569306
491	0.1063000222
492	0.1062497715
493	0.1061838229
494	0.1061184351
495	0.1060500225
496	0.1059903364
497	0.1059321382
498	0.1058770512
499	0.1057958642
500	0.105723648
501	0.1056523723
502	0.1055695234
503	0.1055143317
504	0.1054692396
505	0.1054160334
506	0.1053624032
507	0.1053091229
508	0.1052581965
509	0.1052077562
510	0.105151101
511	0.105095883
512	0.105008969
513	0.1049466371
514	0.1048912312
515	0.1048434026
516	0.1047688639
517	0.1047144911
518	0.1046743913
519	0.1046106442
520	0.1045303059
521	0.1044793059
522	0.1044067317
523	0.1043551295
524	0.1043099606
525	0.1042531626
526	0.104203396
527	0.104135685
528	0.1040648584
529	0.1039980757
530	0.103948412
531	0.1038869105
532	0.1038294311
533	0.1037302653
534	0.1036659052
