iter	Passed	Remaining
0	2	2597
1	5	2982
2	9	3075
3	12	3182
4	16	3200
5	19	3189
6	22	3236
7	26	3230
8	29	3234
9	32	3261
10	36	3257
11	39	3279
12	43	3271
13	46	3257
14	49	3255
15	52	3240
16	56	3245
17	59	3243
18	62	3236
19	65	3226
20	69	3223
21	73	3250
22	76	3268
23	79	3253
24	83	3254
25	86	3252
26	90	3243
27	93	3236
28	96	3220
29	99	3220
30	102	3209
31	105	3200
32	109	3195
33	112	3183
34	115	3177
35	118	3166
36	121	3168
37	124	3156
38	127	3147
39	130	3141
40	133	3131
41	137	3130
42	140	3123
43	143	3117
44	146	3112
45	149	3102
46	152	3096
47	155	3086
48	159	3087
49	163	3105
50	166	3099
51	170	3101
52	173	3092
53	176	3096
54	180	3093
55	182	3083
56	192	3181
57	195	3170
58	198	3165
59	201	3157
60	204	3149
61	207	3142
62	211	3148
63	214	3142
64	218	3138
65	221	3131
66	224	3128
67	227	3121
68	230	3115
69	233	3107
70	237	3103
71	240	3096
72	243	3087
73	246	3080
74	249	3071
75	252	3066
76	255	3058
77	258	3054
78	261	3046
79	264	3039
80	267	3033
81	270	3029
82	273	3026
83	276	3019
84	280	3014
85	283	3010
86	286	3007
87	289	3003
88	292	2995
89	296	2993
90	299	2987
91	302	2981
92	304	2973
93	307	2967
94	311	2963
95	314	2958
96	317	2953
97	320	2946
98	323	2943
99	326	2938
100	329	2934
101	333	2932
102	336	2929
103	339	2925
104	342	2920
105	346	2919
106	349	2915
107	352	2911
108	355	2908
109	358	2904
110	362	2900
111	365	2894
112	368	2890
113	371	2886
114	374	2883
115	378	2880
116	380	2874
117	390	2918
118	393	2915
119	396	2909
120	399	2905
121	403	2900
122	406	2900
123	409	2895
124	412	2889
125	416	2885
126	419	2881
127	422	2878
128	425	2873
129	429	2874
130	436	2893
131	439	2890
132	442	2885
133	445	2879
134	448	2876
135	451	2870
136	455	2866
137	457	2860
138	461	2855
139	464	2851
140	468	2852
141	471	2847
142	474	2842
143	477	2837
144	480	2833
145	483	2829
146	487	2826
147	490	2821
148	493	2817
149	496	2814
150	499	2809
151	502	2805
152	505	2799
153	508	2795
154	512	2791
155	515	2787
156	518	2784
157	521	2779
158	524	2775
159	527	2770
160	531	2767
161	534	2762
162	537	2758
163	540	2753
164	543	2749
